被解救的姜戈,2012,552350人评价
未麻的部屋,1997,281728人评价
恐怖直播,2013,593924人评价
哪吒闹海,39,232252人评价
我是山姆,2001,303619人评价
血战钢锯岭,2016,723167人评价
哈利·波特与火焰杯,4,569648人评价
头号玩家,1,1248787人评价
新世界,2013,357684人评价
七武士,1954,176811人评价
模仿游戏,2014,578918人评价
喜宴,1993,317299人评价
黑客帝国3：矩阵革命,22,409950人评价
花样年华,2000,536821人评价
头脑特工队,2015,548594人评价
电锯惊魂,2004,479222人评价
三块广告牌,2017,754572人评价
卢旺达饭店,2004,295979人评价
你的名字。,2016,1261340人评价
达拉斯买家俱乐部,2013,414068人评价
疯狂原始人,2013,773495人评价
上帝之城,2002,278174人评价
谍影重重3,3,384845人评价
英雄本色,1986,481872人评价
风之谷,1984,329584人评价
心迷宫,2014,464895人评价
惊魂记,1960,249773人评价
九品芝麻官,1994,588497人评价
纵横四海,1991,380018人评价
海街日记,2015,398980人评价
岁月神偷,1969,538789人评价
记忆碎片,2000,555096人评价
忠犬八公物语,1987,175298人评价
荒蛮故事,2014,401268人评价
爱在午夜降临前,2013,347422人评价
绿里奇迹,1999,289477人评价
爆裂鼓手,2014,523916人评价
小偷家族,2018,752475人评价
贫民窟的百万富翁,2008,690165人评价
色，戒,2007,675259人评价
真爱至上,2003,670266人评价
东邪西毒,1994,531111人评价
无敌破坏王,2012,486230人评价
疯狂的石头,2006,740272人评价
冰川时代,2002,561924人评价
雨中曲,39,195736人评价
黑天鹅,2010,733434人评价
你看起来好像很好吃,2010,304821人评价
恐怖游轮,2009,760009人评价
2001太空漫游,2001,281039人评价
雨人,1988,372190人评价
恋恋笔记本,2004,608075人评价
魔女宅急便,1989,415554人评价
茶馆,1982,101258人评价
遗愿清单,2007,395451人评价
城市之光,1931,128536人评价
萤火虫之墓,1988,379183人评价
可可西里,2004,272721人评价
大佛普拉斯,2017,397151人评价
无间道2,2003,411931人评价
牯岭街少年杀人事件,1991,253519人评价
虎口脱险,1966,228207人评价
源代码,2011,767198人评价
人工智能,2001,403337人评价
初恋这件小事,2010,916840人评价
海边的曼彻斯特,2016,457826人评价
背靠背，脸对脸,1994,103037人评价
东京教父,2003,186787人评价
罗生门,1950,283425人评价
小丑,2019,914270人评价
终结者2：审判日,2,312290人评价
青蛇,1993,474500人评价
奇迹男孩,2017,513139人评价
二十二,22,272857人评价
波西米亚狂想曲,2018,542436人评价
房间,2015,345872人评价
疯狂的麦克斯4：狂暴之路,2015,478517人评价
新龙门客栈,1992,401709人评价
无耻混蛋,2009,431558人评价
魂断蓝桥,1940,252808人评价
血钻,2006,342289人评价
千钧一发,1997,258027人评价
步履不停,2008,250865人评价
黑客帝国2：重装上阵,22,371126人评价
彗星来的那一夜,2013,504746人评价
战争之王,2005,330503人评价
崖上的波妞,2008,432863人评价
心灵奇旅,2020,857321人评价
爱乐之城,2016,789604人评价
谍影重重2,2,322735人评价
燃情岁月,1994,264082人评价
阿飞正传,1990,459827人评价
海洋,2009,149014人评价
谍影重重,2002,387838人评价
再次出发之纽约遇见你,2013,392339人评价
穿越时空的少女,2006,352676人评价
火星救援,2015,647662人评价
香水,2006,505680人评价
朗读者,2008,425741人评价
末路狂花,1991,211091人评价
地球上的星星,2007,188371人评价
我爱你,2011,151061人评价
完美陌生人,2016,488159人评价
千年女优,2001,225667人评价
驴得水,2016,847347人评价
聚焦,2015,253230人评价
浪潮,2008,253040人评价
2022年喜剧《重返毕业季》BD中英双字,magnet:?xt=urn:btih:8532a89f391fb97bf4d40b83f97f1753585e91ef&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e9%87%8d%e8%bf%94%e6%af%95%e4%b8%9a%e5%ad%a3.2022.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年动作《青面修罗》HD国语中英双字,magnet:?xt=urn:btih:8a786aab3f7d4af2d55518efcfdf3a93ccd8d918&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e9%9d%92%e9%9d%a2%e4%bf%ae%e7%bd%97.2022.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年动作科幻《暗夜博士：莫比亚斯》BD中英双字,magnet:?xt=urn:btih:10956dd85a6a4f6fa81e335ca6343c77fd154f8a&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%9a%97%e5%a4%9c%e5%8d%9a%e5%a3%ab%ef%bc%9a%e8%8e%ab%e6%af%94%e4%ba%9a%e6%96%af.2022.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
